merchant_code,active_months,monthly_average_transaction,projectedValue,lastActive
M00000024,1,33000.0000,"$100,000 > $500,000",2015-10-20 10:50:31
M00000119,1,34849.0000,None,2016-01-07 05:56:20
M00000041,8,4375.6800,None,2016-10-05 09:59:26
M00000768,1,37594.0000,"$100,000 > $500,000",2016-04-28 11:43:29
M00000657,6,6558.726666666666666666666667,"$100,000 > $500,000",2016-10-11 08:47:57
M00000356,7,5639.628571428571428571428571,"$100,000 > $500,000",2016-10-08 16:57:29
M00000097,1,41032.0000,None,2016-01-19 05:12:17
M00001273,1,41474.8000,None,2016-12-15 09:48:11
M00001272,2,22010.0000,"<100,000",2017-01-25 11:05:02
M00000408,1,46500.0000,None,2016-02-29 07:52:55
M00000114_0003,2,23583.5000,None,2017-01-26 11:46:31
M00000114_0002,1,47674.0000,None,2017-01-25 09:55:52
M00000800,8,5965.8750,"<100,000",2017-01-26 19:52:34
M00000545,4,12362.5000,None,2016-06-23 09:03:49
M00000187,1,49964.0000,None,2016-01-29 06:35:19
M00000985,1,50000.0000,"$100,000 > $500,000",2016-08-02 18:17:11
M00000941,1,51834.0000,None,2016-07-14 13:22:14
M00000434,8,7562.5000,None,2016-10-25 10:46:46
M00001129,1,65000.0000,"<100,000",2016-10-13 11:38:34
M00000062,1,70000.0000,None,2015-10-27 09:33:15
M00000037,3,25938.57666666666666666666667,"<100,000",2015-12-09 17:07:41
M00000782,9,8846.047777777777777777777778,"<100,000",2017-01-17 11:11:06
M00000012,10,8047.0130,None,2016-08-03 21:02:56
M00000108,1,87850.0000,None,2015-11-11 10:37:09
M00000793,7,12662.22857142857142857142857,"$100,000 > $500,000",2016-11-21 10:29:01
M00000114_0001,2,50421.0000,None,2017-01-20 20:57:22
M00000114_0010,1,100947.0000,None,2017-01-14 09:42:35
M00000822,4,25984.5000,"$100,000 > $500,000",2016-10-24 07:39:49
M00000271,12,8666.666666666666666666666667,None,2016-12-01 10:51:07
M00000114_0008,1,104229.0000,None,2017-01-25 11:31:12
M00000007,14,7755.933571428571428571428571,None,2016-11-06 07:33:03
M00000172,8,13837.5000,None,2016-07-14 12:35:42
M00000336,3,38333.33333333333333333333333,None,2016-06-01 09:22:35
M00000497,11,10593.63636363636363636363636,"$100,000 > $500,000",2017-01-09 11:55:20
M00000973,6,20100.0000,"<100,000",2017-01-13 10:04:24
M00000544,1,124000.0000,None,2016-04-28 13:23:25
M00000390,1,129730.0000,"<100,000",2016-09-23 11:22:46
M00000065,1,130000.0000,None,2015-10-30 10:44:10
M00000664,6,22186.5850,"$100,000 > $500,000",2016-09-26 20:29:51
M00000074,1,134000.0000,"$100,000 > $500,000",2016-02-05 11:24:02
M00000555,1,135000.0000,None,2016-03-10 13:21:49
M00000081,1,136000.0000,"$500,000 > $5M",2015-11-18 11:41:03
M00001194,4,34473.1375,"$100,000 > $500,000",2017-01-16 14:56:53
M00000903,7,19849.21857142857142857142857,"$100,000 > $500,000",2017-01-30 11:04:55
M00000061,1,139500.0000,None,2015-10-29 09:34:14
M00001021,4,35495.5600,"<100,000",2017-01-16 11:51:28
M00000859,7,22046.9200,"$100,000 > $500,000",2017-01-23 13:55:12
